#818-White Gold Tower


add_core = HRT
owner = HRT
controller = HRT
culture = heartlander
religion = eight_divines_rel
hre = no
base_tax = 13
base_production = 13
trade_goods = cloth
base_manpower = 9
capital = "White Gold Tower"
is_city = yes
center_of_trade = 3
fort_15th = yes 

discovered_by = aldmer_tech
discovered_by = argonian_tech
discovered_by = dunmer_tech
discovered_by = khajiit_tech
discovered_by = nedic_tech
discovered_by = orsimer_tech
discovered_by = sload_tech
discovered_by = yokudan_tech
