province;red;green;blue;x;x
;;;;;
#Hammerfell;;;;;
484;74;167;207;;x
485;41;13;115;;x
486;92;163;4;Darastra;x
487;115;172;116;;x
488;128;178;176;;x
489;201;145;158;;x
490;30;29;177;;x
491;46;28;206;Dragon Gate;x
492;145;15;196;;x
493;127;5;9;Dragonstar;x
494;69;63;99;Heldorn;x
495;187;241;62;;x
496;75;120;147;;x
497;40;70;206;Heldorn Mount;x
498;164;82;119;;x
499;51;177;23;;x
500;154;212;2;;x
501;94;96;236;;x
502;155;186;128;Bangkorai Garrison;x
503;131;36;174;;x
504;23;166;216;;x
505;183;164;166;;x
506;15;35;5;;x
507;44;142;110;;x
508;103;119;68;;x
509;209;77;35;Thorstad;x
510;53;146;140;Satakalaam;x
511;48;247;135;;x
512;156;183;0;Lainlyn;x
513;145;158;25;;x
514;50;185;43;Totambu;x
515;150;34;141;Hallin's Stand;x
516;141;149;140;Verkarth;x
517;194;43;229;Kozanset;x
518;134;54;69;Tigonus;x
519;224;188;46;;x
520;124;149;201;Pothago;x
521;168;102;84;Cybiades;x
522;191;145;29;Myrkwasa;x
523;221;74;49;Sentinel;x
524;87;28;225;Chastown;x
525;204;194;125;Abibon-Gora;x
526;230;56;84;;x
527;239;240;236;Kelps Yat;x
528;222;36;78;Nohotoghra;x
529;124;149;201;Hegathe;x
530;95;113;92;;x
531;206;187;236;;x
532;204;152;249;Sunkeep;x
533;132;57;182;;x
534;16;232;189;Shady Grove;x
535;113;244;161;Rachlane;x
536;80;248;28;Gilane;x
537;46;169;227;Laine;x
538;83;112;45;;x
539;174;197;90;;x
540;217;74;239;;x
541;23;52;201;;x
542;132;74;186;;x
543;251;209;219;;x
544;135;147;30;;x
545;117;134;227;;x
546;229;193;169;;x
547;61;253;92;Abah's Landing;x
548;172;165;209;;x
549;226;226;149;;x
550;171;89;73;;x
551;91;85;103;;x
552;44;118;240;Bergama;x
553;205;236;157;Dak'fron;x
554;71;140;98;;x
555;229;75;38;Taneth;x
556;117;225;28;;x
557;191;29;66;Karrnver Falls;x
558;22;202;139;;x
559;103;117;151;Roseguard;x
560;146;94;207;;x
561;100;127;72;Chaseguard;x
562;224;110;89;;x
563;138;24;44;Rihad;x
564;54;119;109;Santaki;x
565;151;88;7;Abasa;x
566;48;190;107;Riverview;x
567;231;213;34;;x
568;28;180;99;;x
569;217;139;82;Kamver;x
570;143;8;34;;x
571;154;184;215;;x
572;57;177;65;;x
573;15;163;172;;x
574;162;72;227;;x
575;173;115;118;;x
576;217;71;142;;x
577;178;26;32;;x
578;29;11;70;;x
579;44;142;110;;x
580;19;124;104;;x
581;231;106;16;;x
582;173;22;198;Cortenhad;x
583;141;114;35;;x
584;176;175;26;;x
585;177;72;233;;x
586;83;177;59;;x
587;60;220;51;Elinhir;x
588;16;16;163;;x
589;159;184;205;;x
590;236;240;0;;x
591;155;3;14;;x
592;177;144;223;;x
593;127;18;110;Stonemoor;x
594;10;249;54;Helkati;x
595;4;145;159;;x
596;197;123;178;;x
597;246;240;4;;x
598;76;5;29;Nokelos;x
599;25;196;121;;x
600;78;19;5;;x
601;253;80;188;;x
602;32;73;95;;x
603;203;151;41;;x
604;162;72;227;;x
605;123;146;139;;x
606;149;253;158;;x
607;119;194;103;;x
608;6;25;111;Cartmont;x
609;221;151;208;Helland;x
610;99;175;76;;x
611;151;120;217;;x
612;77;232;65;;x
613;242;51;117;;x
614;122;227;108;Vel M'kai;x
615;196;193;12;North Hall;x
616;36;98;171;;x
617;43;93;119;;x
618;155;64;159;;x
619;72;126;114;;x
620;88;163;217;;x
621;218;125;130;Riverpoint;x
622;63;30;217;;x
623;73;114;202;Tarkasus;x
624;181;95;197;;x
625;239;185;232;Vulnim Gate;x
626;112;139;166;;x
627;4;4;73;;x
628;137;80;98;;x
629;202;12;53;Skaven;x
630;158;201;126;Cliff Keep;x
631;167;118;175;;x
632;132;184;174;Vulkenu Town;x
633;241;237;203;;x
634;201;102;209;;x
635;109;101;185;;x
636;106;147;72;;x
637;247;232;83;;x
638;221;21;144;;x
639;95;233;41;Belkarth;x
640;208;211;49;;x
641;171;16;213;;x
642;219;97;227;;x
643;107;79;138;Nimbel;x
644;127;188;201;;x
645;117;172;100;;x
646;87;75;174;;x
647;123;7;182;;x
648;53;124;148;;x
649;146;104;58;;x
650;252;240;230;;x
651;118;241;189;;x
652;117;152;118;;x
653;32;199;111;;x
654;141;21;127;;x
655;162;46;50;;x
656;120;58;93;Cilla-Karak;x
657;212;150;41;;x
658;37;28;89;;x
659;75;189;126;;x
1658;215;211;5;Stros M'kai;x
1660;197;70;34;East Chain;x
1666;8;225;54;West Chain;x
1668;239;107;188;North Caspar;x
1669;197;5;66;South Caspar;x
1670;79;89;137;North Herne;x
1671;110;179;45;South Herne;x
