province;red;green;blue;x;x
;;;;;
#High Rock;;;;;
145;199;198;220;Sorrow;x
146;248;141;140;Jehanna;x
147;121;200;122;;x
148;36;74;26;;x
149;185;254;150;Farrun;x
150;42;8;213;Cloud Spring;x
151;104;130;145;;x
152;177;254;192;;x
153;78;245;154;;x
154;193;17;157;;x
155;247;54;5;Dunlain;x
156;124;181;56;;x
157;96;195;64;;x
158;108;59;15;Snowline;x
159;254;172;31;;x
160;240;182;154;Kerbol's Hollow;x
161;139;100;193;;x
162;95;166;137;Murcien's Hamlet;x
163;229;252;212;;x
164;251;207;117;Corvelda;x
165;193;7;82;;x
166;167;120;21;;x
167;151;120;159;;x
168;219;111;102;Karthgran Vale;x
169;177;157;210;Dunkarn Haven;x
170;248;141;140;Azra's Crossing;x
171;47;217;26;Raven Spring;x
172;171;130;177;Shinji's Scarp;x
173;96;195;64;Evermore;x
174;27;37;42;;x
175;84;159;62;Frostbreak Fortress;x
176;203;128;91;;x
177;152;181;210;;x
178;121;252;115;;x
179;38;134;116;;x
180;87;112;131;;x
181;132;143;144;;x
182;78;38;60;Windkeep;x
183;10;161;46;Grim Dyke;x
184;80;97;223;;x
185;113;17;72;;x
186;25;205;106;;x
187;74;233;91;;x
188;63;63;130;Black Wastes;x
189;165;66;193;;x
190;88;28;146;;x
191;31;92;202;;x
192;120;153;226;Norvulk;x
193;251;132;135;Portdun;x
194;55;233;31;;x
195;112;127;44;;x
196;245;14;5;;x
197;64;194;103;;x
198;169;115;32;Markwasten Moor;x
199;189;187;37;;x
200;213;19;242;;x
201;3;231;96;;x
202;165;98;150;;x
203;185;82;173;Normar Heights;x
204;240;182;154;Northpoint;x
205;60;250;45;Gavaudon;x
206;44;245;112;;x
207;74;116;136;;x
208;101;141;105;Fragel's Landing;x
209;230;242;149;;x
210;38;8;14;;x
211;9;130;237;;x
212;134;12;77;Wayrest;x
213;16;197;191;;x
214;69;67;222;;x
215;130;249;168;Menevia;x
216;26;157;139;Culaire;x
217;231;197;253;Thorkan Park;x
218;23;101;64;Moira's Hope;x
219;220;34;171;;x
220;111;68;1;;x
221;145;60;133;;x
222;120;5;18;Koegria;x
223;231;81;196;;x
224;93;208;218;Wrothgaria;x
225;213;110;25;;x
226;51;204;107;;x
227;3;80;27;Old Gate;x
228;209;6;192;;x
229;130;33;125;;x
230;209;164;156;Sharnhelm;x
231;40;152;11;;x
232;154;95;237;White Haven;x
233;162;89;19;Crestshade;x
234;6;7;144;Meir Thorvale;x
235;60;44;124;;x
236;116;44;248;;x
237;242;60;132;Meir Darguard;x
238;151;113;109;Crosswych;x
239;109;140;190;;x
240;198;236;98;;x
241;71;108;122;;x
242;79;238;135;;x
243;174;101;5;Eaglebrook;x
244;114;96;81;;x
245;149;217;160;;x
246;12;43;231;;x
247;243;246;81;Camlorn;x
248;172;65;15;;x
249;62;55;17;Ykalon;x
250;124;181;56;Westtry;x
251;154;124;78;;x
252;25;30;90;Northmoor;x
253;100;239;252;Kambria;x
254;164;45;10;Alcaire;x
255;55;230;169;;x
256;126;205;72;Bhoriane;x
257;219;91;19;Phrygias;x
258;241;204;165;Dywnenn;x
259;223;160;2;Urvaius;x
260;51;195;128;Daenia;x
261;201;199;1;Aldcroft;x
262;202;136;158;Anitclere;x
263;198;2;226;;x
264;80;46;92;;x
265;43;12;122;;x
266;253;250;149;;x
267;55;11;144;Ilessan Hills;x
268;186;183;241;;x
269;214;8;34;;x
270;178;22;180;Shalgora;x
271;148;219;135;Whitefort;x
272;59;103;225;Glenpoint;x
273;108;87;64;Daggerfall;x
274;48;174;66;Rhalta;x
275;86;108;231;Betony;x
277;147;174;240;Tulune;
