  province;red;green;blue;x;x
1;104;154;101;1;x
2;229;162;120;2;x
3;241;191;154;3;x
4;179;232;3;4;x
5;0;234;14;5;x
6;145;194;38;6;x
7;19;137;60;7;x
8;9;154;195;8;x
9;88;172;13;8;x
10;33;141;202;10;x
11;163;152;11;11;x
12;241;97;16;12;x
13;227;168;230;13;x
14;120;30;2;14;x
15;250;53;177;15;x
16;73;57;239;16;x
17;211;90;232;17;x
18;180;2;177;18;x
19;121;35;238;19;x
20;142;87;29;20;x
21;148;227;118;21;x
22;154;239;141;22;x
23;47;176;148;23;x
24;62;112;55;24;x
25;111;34;44;25;x
26;9;62;218;26;x
27;48;144;115;27;x
28;137;192;100;28;x
29;38;127;108;29;x
30;87;152;57;30;x
31;132;94;64;31;x
32;158;164;243;32;x
33;216;159;222;33;x
34;59;255;176;34;x
35;95;24;88;35;x
36;98;247;53;36;x
37;109;6;8;37;x
38;27;85;56;38;x
39;134;37;211;39;x
40;131;74;252;40;x
41;229;167;97;41;x
42;2;53;52;42;x
43;255;109;97;43;x
44;203;206;223;44;x
45;16;26;78;45;x
46;239;37;243;46;x
47;198;82;114;47;x
48;253;31;131;48;x
49;143;1;117;49;x
50;206;31;215;50;x
51;84;14;176;51;x
52;142;45;232;52;x
53;114;185;7;53;x
54;86;194;135;54;x
55;13;127;159;55;x
56;60;184;28;56;x
57;196;169;129;57;x
58;119;187;216;58;x
59;67;38;231;59;x
60;117;236;40;60;x
61;2;0;61;61;x
62;235;82;198;62;x
63;12;244;170;63;x
64;120;48;127;64;x
65;92;233;216;65;x
66;10;35;123;66;x
67;28;16;134;67;x
68;101;23;133;68;x
69;200;95;41;69;x
70;67;106;127;70;x
71;254;194;47;71;x
72;27;27;200;72;x
73;70;106;49;73;x
74;166;147;47;74;x
75;12;222;171;75;x
76;219;47;88;76;x
77;87;183;253;77;x
78;3;68;251;78;x
79;235;195;96;79;x
80;6;240;120;80;x
81;232;46;13;81;x
82;190;11;248;82;x
83;86;168;74;83;x
84;220;136;237;84;x
85;45;147;172;85;x
86;253;161;98;86;x
87;46;239;89;87;x
88;139;249;50;88;x
89;22;59;135;89;x
90;53;81;217;90;x
91;246;16;157;91;x
92;60;211;215;92;x
93;45;104;187;93;x
94;109;13;131;94;x
95;93;89;14;95;x
96;192;57;23;96;x
97;54;158;96;97;x
98;101;108;151;98;x
99;223;151;250;99;x
236;23;184;0;100;x
101;206;231;244;101;x
102;208;131;186;102;x
103;177;129;98;103;x
104;149;110;148;104;x
105;168;171;119;105;x
106;6;158;107;106;x
107;254;3;44;107;x
108;2;125;11;108;x
109;229;183;14;109;x
110;159;180;126;110;x
111;127;64;16;111;x
112;215;137;80;112;x
113;240;53;119;113;x
114;201;135;183;114;x
115;10;116;182;115;x
116;96;245;185;116;x
117;3;214;11;117;x
118;224;129;136;118;x
119;227;253;80;119;x
120;107;53;158;120;x
121;243;114;0;121;x
122;119;250;186;122;x
123;244;137;189;123;x
124;39;217;214;124;x
125;217;102;144;125;x
126;116;202;141;126;x
127;195;223;7;127;x
128;249;67;52;128;x
129;104;191;68;129;x
130;48;202;104;130;x
131;203;137;14;131;x
132;187;192;56;132;x
133;213;90;156;133;x
134;67;211;93;134;x
135;36;70;69;135;x
136;46;39;90;136;x
137;13;44;125;137;x
138;44;85;140;138;x
139;24;145;238;139;x
140;52;44;253;140;x
141;111;178;75;141;x
142;173;120;133;142;x
143;204;29;194;143;x
144;31;224;212;last-skyrim-144;x
145;148;66;0;Morea;x
146;20;68;64;Athens;x
147;149;70;128;Salonica;x
148;21;72;192;Macedonia;x
149;149;74;255;Edirne;x
150;21;76;0;Bulgaria;x
151;149;78;64;Thrace;x
152;21;80;128;Slavonia;x
153;149;82;192;Pecs;x
154;22;84;255;Ersekujvar;x
155;150;86;0;Szolnok;x
156;22;88;64;Banat;x
157;150;90;128;Partium;x
158;22;92;192;Transylvania;x
159;150;94;255;Silistria;x
160;22;96;0;Oltenia;x
161;151;98;64;Wallachia;x
162;23;100;128;Carpathia;x
163;151;102;192;Crete;x
164;23;104;255;Naxos;x
165;151;106;0;Bern;x
166;23;108;64;Schwyz;x
167;151;110;128;Caux;x
168;24;112;192;Normandie;x
169;152;114;255;Armor;x
170;24;116;0;Finist�re;x
171;152;118;64;Morbihan;x
172;24;120;128;Vend�e;x
173;152;122;192;Labourd;x
174;24;124;255;Gascogne;x
175;153;126;0;Armagnac;x
176;25;128;64;B�arn;x
177;153;130;128;Maine;x
178;25;132;192;Anjou;x
179;153;134;255;Berry;x
180;25;136;0;Poitou;x
181;153;138;64;Valenciennes;x
182;26;140;128;Vermandois;x
183;154;142;192;�le-de-France;x
184;26;144;255;Orl�annais;x
185;147;222;218;Nemours;x
186;26;148;64;Champagne;x
187;154;150;128;Barrois;x
188;26;152;192;Metz;x
189;155;154;255;Lothringen;x
190;27;156;0;Bourbon;x
191;155;158;64;Nevers;x
192;27;32;128;Bourgogne;x
193;155;34;192;Franche-Comt�;x
194;27;36;255;P�rigord;x
195;155;38;0;Limousin;x
196;28;40;64;Toulouse;x
197;156;42;128;Roussillon;x
198;28;44;192;Rouergue;x
199;156;46;255;Auvergne;x
200;28;248;0;Languedoc;x
201;156;50;64;Toulon;x
202;28;52;128;Avignon;x
203;157;54;192;Lyonnais;x
204;29;56;255;Dauphin�;x
205;157;58;0;Savoie;x
206;29;60;64;Galicia;x
207;157;62;128;Asturias;x
208;29;64;192;Le�n;x
209;157;66;255;Vizcaya;x
210;30;68;0;Navarra;x
211;158;70;64;Pirineo;x
212;30;72;128;Girona;x
213;158;74;192;Barcelona;x
214;30;76;255;Zaragoza;x
215;158;78;0;Castilla La Vieja;x
216;30;80;64;Salamanca;x
217;159;82;128;Madrid;x
218;31;84;192;Badajoz;x
219;159;86;255;Toledo;x
220;31;88;0;Val�ncia;x
221;159;90;64;Murcia;x
222;31;92;128;Almer�a;x
223;159;94;192;Granada;x
224;32;96;255;Andaluc�a;x
225;160;98;0;C�rdoba;x
226;32;100;64;Gibraltar;x
227;160;102;128;Lisboa;x
228;32;104;192;Beira;x
229;160;106;255;Beja;x
230;32;108;0;Algarve;x
231;161;110;64;Porto;x
232;33;112;128;Bragan�a;x
233;166;203;93;Cornwall;x
234;33;116;255;Wessex;x
235;161;118;0;Kent;x
236;33;120;64;London;x
237;161;122;128;Oxfordshire;x
238;34;124;192;Essex;x
239;162;126;255;Gloucestershire;x
240;34;128;0;Shrewsbury;x
241;162;130;64;Glamorgan;x
242;34;132;128;Gwynedd;x
243;162;134;192;Lincoln;x
244;34;136;255;Lancashire;x
245;163;138;0;Yorkshire;x
246;35;140;64;Northumberland;x
247;163;142;128;Cumbria;x
248;35;144;192;Lothian;x
249;163;146;255;Ayrshire;x
250;35;148;0;Perth;x
251;163;150;64;Aberdeen;x
252;36;152;128;Inverness;x
253;164;154;192;Outer Hebrides;x
254;36;156;255;Poznan;x
255;164;158;0;Kalisz;x
256;36;32;64;Plock;x
257;164;34;128;Mazovia;x
258;36;36;192;Lodz;x
259;165;38;255;Sandomir;x
260;37;40;0;Galicien;x
261;165;42;64;Halicz;x
262;37;44;128;Krakow;x
263;165;46;192;Ratibor;x
264;37;48;255;Breslau;x
265;165;50;0;Moravia;x
266;38;52;64;Bohemia;x
267;166;54;128;Plsen;x
268;38;56;192;Bessarabia;x
269;166;58;255;Podlasia;x
270;38;60;0;Troki;x
271;166;62;64;Samogitia;x
272;38;64;128;Lithuania;x
273;167;66;192;Letgallen;x
274;39;68;255;Pskov;x
275;167;70;0;Polotsk;x
276;39;72;64;Minsk;x
277;26;110;170;FIRST MORROWIND;x
278;200;132;122;278;x
279;190;94;12;279;x
280;92;187;191;280;x
281;88;67;143;281;x
282;110;84;110;282;x
283;59;25;26;283;x
284;94;249;24;284;x
285;129;168;242;285;x
286;206;80;29;286;x
287;4;143;203;287;x
288;102;75;107;288;x
289;162;10;104;289;x
290;4;7;200;290;x
291;231;164;234;291;x
292;123;35;206;292;x
293;4;254;44;293;x
294;251;149;242;294;x
295;36;30;163;295;x
296;6;108;96;296;x
297;172;56;153;297;x
298;234;216;226;298;x
299;77;173;97;299;x
300;17;185;212;300;x
301;33;96;95;301;x
302;239;198;38;302;x
303;32;97;137;303;x
304;177;213;12;304;x
305;127;110;143;305;x
306;115;179;106;306;x
307;2;35;96;307;x
308;144;163;3;308;x
309;21;20;2;309;x
310;69;51;142;310;x
311;109;38;144;311;x
312;138;171;121;312;x
313;87;199;165;313;x
314;110;129;238;314;x
315;172;56;153;315;x
316;187;135;92;316;x
317;5;194;84;317;x
318;47;178;213;318;x
319;110;123;192;319;x
320;221;135;204;320;x
321;107;199;13;321;x
322;28;250;47;322;x
323;232;183;230;323;x
324;174;220;219;324;x
325;221;67;109;325;x
326;6;175;145;326;x
327;193;38;162;327;x
328;133;114;61;328;x
329;136;129;243;329;x
330;122;4;118;330;x
331;202;191;107;331;x
332;47;230;142;332;x
333;98;167;228;333;x
334;175;73;9;334;x
335;52;26;58;335;x
336;136;219;182;336;x
337;93;83;24;337;x
338;62;8;51;338;x
339;11;236;112;339;x
340;125;82;81;340;x
341;137;155;58;341;x
342;188;147;200;342;x
343;123;160;172;343;x
344;172;173;97;344;x
345;67;142;138;345;x
346;170;129;204;346;x
347;78;246;165;347;x
348;112;117;69;348;x
349;80;1;114;349;x
350;87;61;178;350;x
351;220;222;54;351;x
352;178;10;88;352;x
353;58;45;191;353;x
354;68;56;13;354;x
355;20;223;156;355;x
356;60;195;128;356;x
357;197;248;225;357;x
358;41;90;139;358;x
359;215;29;131;359;x
360;90;224;53;360;x
361;63;24;87;361;x
362;186;16;220;362;x
363;90;111;47;363;x
364;79;42;254;364;x
365;241;249;75;365;x
366;117;60;68;366;x
367;146;186;194;367;x
368;154;26;223;368;x
369;246;158;119;369;x
370;115;231;45;370;x
371;97;7;51;371;x
372;120;52;63;372;x
373;199;62;88;373;x
374;195;191;59;374;x
375;242;44;179;375;x
376;68;156;98;376;x
377;100;167;63;377;x
378;33;177;218;378;x
379;236;6;73;379;x
380;238;81;97;380;x
381;33;123;135;381;x
382;67;231;138;382;x
383;75;183;208;383;x
384;47;242;76;384;x
385;253;203;157;385;x
386;112;55;172;386;x
387;45;160;206;387;x
388;42;153;161;388;x
389;254;223;246;389;x
390;224;136;1;390;x
391;121;59;191;391;x
392;132;221;142;392;x
393;166;121;127;393;x
394;121;150;45;394;x
395;139;231;208;395;x
396;126;235;48;396;x
397;168;135;164;397;x
398;192;205;43;398;x
399;228;248;175;399;x
400;218;160;245;400;x
401;85;22;66;401;x
402;106;99;132;402;x
403;171;226;120;403;x
404;52;45;43;404;x
405;253;173;110;405;x
406;28;203;56;406;x
407;204;21;185;407;x
408;172;9;109;408;x
409;196;191;74;409;x
410;131;147;59;410;x
411;37;85;228;411;x
412;136;99;228;412;x
413;11;51;59;413;x
414;209;101;234;414;x
415;80;30;232;415;x
416;233;254;1;416;x
417;41;84;26;417;x
418;44;30;82;418;x
419;226;204;86;419;x
420;116;239;230;420;x
421;165;242;123;421;x
422;82;201;64;422;x
423;102;133;136;423;x
424;255;244;252;424;x
425;87;180;183;425;x
426;102;170;238;426;x
427;73;165;63;427;x
428;79;114;154;428;x
429;93;246;30;429;x
430;52;109;244;430;x
431;205;74;179;431;x
432;18;217;180;432;x
433;175;144;182;433;x
434;182;4;101;434;x
435;63;147;175;435;x
436;0;101;189;436;x
437;169;104;241;437;x
438;85;66;253;438;x
439;60;187;28;439;x
440;62;165;194;440;x
441;205;89;70;441;x
442;29;11;47;442;x
443;175;111;153;443;x
444;160;91;24;444;x
445;196;86;171;445;x
446;207;55;32;446;x
447;53;210;28;447;x
448;74;82;53;448;x
449;94;215;134;449;x
450;116;208;253;450;x
451;188;211;63;451;x
452;20;164;124;452;x
453;191;162;56;453;x
454;108;2;123;454;x
455;41;151;144;455;x
456;110;146;228;456;x
457;222;163;149;457;x
458;44;55;100;458;x
459;66;210;41;459;x
460;184;110;223;460;x
461;163;109;71;461;x
462;47;247;102;462;x
463;27;252;173;463;x
464;142;176;249;464;x
465;24;123;26;465;x
466;212;35;200;466;x
467;224;66;103;467;x
468;65;245;216;468;x
469;71;4;24;469;x
470;209;157;61;470;x
471;168;151;104;471;x
472;103;96;72;472;x
473;0;136;17;473;x
474;154;105;244;474;x
475;135;157;96;475;x
476;241;96;109;476;x
477;246;215;212;477;x
478;167;159;152;478;x
479;83;37;84;479;x
480;247;223;105;480;x
481;139;53;254;481;x
482;24;8;205;482;x
483;125;119;150;LAST MORROWIND;x
484;74;167;207;First Hammerfell;x
485;41;13;115;485;x
486;92;163;4;Darastra;x
487;115;172;116;487;x
488;128;178;176;488;x
489;201;145;158;489;x
490;30;29;177;490;x
491;46;28;206;Dragon Gate;x
492;145;15;196;492;x
493;127;5;9;Dragonstar;x
494;69;63;99;Heldorn;x
495;187;241;62;495;x
496;75;120;147;496;x
497;40;70;206;Heldorn Mount;x
498;164;82;119;498;x
499;51;177;23;499;x
500;154;212;2;500;x
501;94;96;236;501;x
502;155;186;128;Bangkorai Garrison;x
503;131;36;174;503;x
504;23;166;216;504;x
505;183;164;166;505;x
506;15;35;5;506;x
