province;red;green;blue;x;x
;;;;;
#Valenwood;;;;;
1519;195;245;22;;x
1520;0;247;87;;x
1521;193;233;79;;x
1522;31;215;242;;x
1523;221;113;201;;x
1524;19;119;22;;x
1525;150;55;102;;x
1526;44;236;221;;x
1527;166;91;108;;x
1528;65;222;217;;x
1529;155;166;167;;x
1530;126;135;246;;x
1531;202;206;237;;x
1532;155;159;161;;x
1533;142;216;202;;x
1534;198;177;13;;x
1535;3;223;210;;x
1536;181;193;160;;x
1537;186;2;1;;x
1538;89;249;204;;x
1539;231;156;218;;x
1540;15;151;80;;x
1541;77;231;183;;x
1542;16;101;252;;x
1543;235;224;107;;x
1544;234;75;147;;x
1545;106;137;158;;x
1546;215;22;205;;x
1547;137;47;229;;x
1548;179;242;151;;x
1549;133;152;254;;x
1550;175;74;32;;x
1551;68;107;54;;x
1552;51;44;211;;x
1553;82;4;27;;x
1554;98;242;112;;x
1555;38;159;166;;x
1556;216;47;19;;x
1557;6;149;229;;x
1558;70;165;234;;x
1559;244;88;115;;x
1560;254;208;230;;x
1561;131;155;223;;x
1562;74;218;198;;x
1563;105;106;92;;x
1564;43;216;159;;x
1565;227;192;124;;x
1566;154;182;235;;x
1567;80;174;11;;x
1568;144;252;9;;x
1569;91;241;216;;x
1570;102;140;192;;x
1571;15;107;20;;x
1572;27;106;225;;x
1573;195;95;240;;x
1574;4;93;234;;x
1575;101;213;110;;x
1576;62;211;79;;x
1577;95;39;206;;x
1578;109;175;1;;x
1579;242;152;175;;x
1580;50;182;158;;x
1581;67;188;6;;x
1582;231;6;145;;x
1583;60;149;152;;x
1584;167;173;126;;x
1585;187;202;246;;x
1586;87;76;77;;x
1587;249;191;172;;x
1588;169;170;67;;x
1589;9;61;26;;x
1590;198;167;151;;x
1591;92;187;116;;x
1592;76;154;93;;x
1593;230;204;137;;x
1594;95;233;153;;x
1595;5;173;39;;x
1596;137;93;81;;x
1597;164;54;97;;x
1598;132;133;11;;x
1599;64;158;110;;x
1600;216;146;150;;x
1601;220;70;51;;x
1602;233;209;234;;x
1603;122;88;236;;x
1604;14;193;35;;x
1605;85;199;224;;x
1606;145;140;211;;x
1607;183;147;202;;x
1608;152;225;187;;x
1609;238;153;159;;x
1610;32;191;110;;x
1611;223;230;35;;x
1612;32;27;168;;x
1613;55;119;151;;x
1614;175;245;170;;x
1615;83;208;106;;x
1616;167;11;234;;x
1617;77;62;89;;x
1618;161;161;25;;x
1619;220;222;19;;x
1620;217;21;181;;x
1621;141;17;199;;x
1622;20;163;198;;x
1623;234;148;200;;x
1624;172;170;4;;x
1625;46;8;154;;x
1626;251;119;255;;x
1627;133;224;24;;x
1628;104;155;140;;x
1629;181;50;84;;x
1630;254;23;92;;x
1631;64;54;93;;x
1632;158;219;23;;x
1633;90;69;194;;x
1634;252;150;114;;x
1635;110;30;182;;x
1636;40;102;40;;x
1637;86;38;53;;x
1638;211;227;192;;x
1639;238;44;131;;x
1640;254;38;167;;x
1641;123;144;39;;x
1642;51;21;30;;x
1643;113;124;243;;x
1644;141;195;253;;x
1645;223;190;230;;x
1646;250;133;138;;x
1647;251;38;69;;x
1648;92;79;191;;x
1649;112;89;194;;x
1650;70;108;77;;x
1651;132;53;17;;x
1652;131;84;91;;x
1653;38;6;51;;x
1654;181;87;250;;x
1655;98;213;132;;x
1656;96;127;155;;x
1657;208;27;72;;x
3048;233;189;16;;x
3049;211;38;149;;x
3050;10;70;95;;x
3051;60;250;14;;x
3052;231;220;32;;x
3053;193;255;88;;x
3054;8;3;95;;x
3055;137;92;16;;x
3056;11;129;217;;x
3057;149;127;210;;x
