province;red;green;blue;x;x
;;;;;
#Yokuda;;;;;
1672;152;56;237;The Systres;
1673;240;188;163;Agowle;
1674;66;82;122;Vandor;
1675;254;123;225;;
1676;220;82;95;;
1677;22;191;246;Ravan;
1678;47;149;20;;
1679;15;178;225;Asul Ydur;
1680;39;0;208;;
1681;64;89;223;Seuol Ydur;
1682;122;138;109;;
1683;91;76;126;;
1684;14;129;36;;
1685;105;71;76;;
1686;18;59;19;Nalonga;
#1687;;;;;
#1688;;;;;
1689;153;167;53;Klithi;
1690;204;181;177;Kamksh;
1691;5;127;32;;
1692;10;235;56;;
1693;193;40;253;;
1694;171;187;211;;
1695;218;144;73;;
1696;215;10;52;Yath;
1697;34;27;144;;
1698;79;30;62;Khubi;
1699;208;228;77;Moni;
1700;133;222;163;Bahia;
1701;253;129;185;;
1702;122;138;109;;
1703;33;232;140;Arranhu;
1704;178;34;34;Tull;
1705;218;165;32;;
1706;0;255;255;;
1707;124;182;181;Tagon;
1708;138;245;122;;
1709;11;192;214;;
1710;45;61;177;Tigon;
1711;196;247;244;;
1712;135;68;184;;
1713;21;119;24;;
1714;93;236;48;;
1715;5;55;237;;
1716;226;101;203;;
1717;28;169;154;;
1718;14;67;225;;
1719;191;31;26;;
1720;144;149;185;;
1721;80;93;227;;
1722;138;183;243;Kruzka;
