province;red;green;blue;x;x
;;;;;
#Thras;;;;;
1672;152;56;237;The Systres;x
1673;240;188;163;Agowle;x
1674;66;82;122;Vandor;x
;;;;;
#Yokuda;;;;;
1675;254;123;225;;x
1676;220;82;95;;x
1677;22;191;246;Ravan;x
1678;47;149;20;;x
1679;15;178;225;Asul Ydur;x
1680;39;0;208;;x
1681;64;89;223;Seuol Ydur;x
1682;122;138;109;;x
1683;91;76;126;;x
1684;14;129;36;;x
1685;105;71;76;;x
1686;18;59;19;Nalonga;x
#1687;;;;;x
#1688;;;;;x
1689;153;167;53;Klithi;x
1690;204;181;177;Kamksh;x
1691;5;127;32;;x
1692;10;235;56;;x
1693;193;40;253;;x
1694;171;187;211;;x
1695;218;144;73;;x
1696;215;10;52;Yath;x
1697;34;27;144;;x
1698;79;30;62;Khubi;x
1699;208;228;77;Moni;x
1700;133;222;163;Bahia;x
1701;253;129;185;;x
1702;122;138;109;;x
1703;33;232;140;Arranhu;x
1704;178;34;34;Tull;x
1705;218;165;32;;x
1706;0;255;255;;x
1707;124;182;181;Tagon;x
1708;138;245;122;;x
1709;11;192;214;;x
1710;45;61;177;Tigon;x
1711;196;247;244;;x
1712;135;68;184;;x
1713;21;119;24;;x
1714;93;236;48;;x
1715;5;55;237;;x
1716;226;101;203;;x
1717;28;169;154;;x
1718;14;67;225;;x
1719;191;31;26;;x
1720;144;149;185;;x
1721;80;93;227;;x
1722;138;183;243;Kruzka;x
