province;red;green;blue;x;x

#Alinor
965;89;32;175;Errinome Isle;x
966;241;193;134;Skywatch;x
967;48;67;11;;x
968;34;241;132;;x
969;166;66;108;;x
970;19;252;99;;x
971;217;173;69;Shattered Grove;x
972;6;293;137;;x
973;251;10;64;;x
974;134;202;230;Mathiisen;x
975;176;26;252;Phaer;x
976;112;36;72;;x
977;84;93;173;;x
978;113;181;169;Potansa;x
979;191;174;229;;x
980;148;114;164;Silsailen;x
981;73;215;182;;x
982;201;229;195;East Shore Islet;x
983;123;97;104;;x
984;171;81;3;Vulkhel Guard;x
985;253;31;80;;x
986;170;96;146;;x
987;90;167;132;;x
988;196;43;92;Gilsailen;x
989;122;210;122;;x
1000;13;97;27;Buraniim Isle;x
1001;138;233;250;;x
1002;70;91;8;;x
1003;148;17;70;;x
1004;101;68;220;;x
1005;8;203;169;Almarchet;x
1006;41;155;105;;x
1007;23;18;74;;x
1008;5;225;162;;x
1009;44;78;231;;x
1010;162;113;81;;x
1011;193;233;61;;x
1012;176;64;188;Dawnbreak;x
1013;115;125;78;Nelanya;x
1014;7;135;57;;x
1015;132;98;238;;x
1016;52;143;231;;x
1017;255;175;252;Firsthold;x
1018;147;139;77;;x
1019;24;235;40;;x
1020;30;229;250;;x
1021;179;111;48;Greenwater Cove;x
1022;144;100;189;Camdia;x
1023;227;139;157;Old Hall;x
1024;186;26;0;Belotte;x
1025;28;99;254;Krandar Watch;x
1026;4;20;225;Springbreeze;x
1027;101;201;218;;x
1028;7;184;185;;x
1029;183;128;198;;x
1030;164;202;210;Belport Run;x
1031;123;121;112;;x
1032;196;70;144;Kingshaven;x
1033;29;142;221;;x
1034;4;181;177;Crystal-Like-Law;x
1035;8;200;7;Graddun Spring;x
1036;21;199;87;Congrad Wastes;x
1037;161;102;204;Gradden;x
1038;177;213;76;;x
1039;162;176;132;Malabria;x
1040;55;114;206;;x
1041;254;77;192;;x
1042;243;218;241;Lillandril;x
1043;32;162;180;;x
1044;65;131;247;Arata;x
1045;34;149;12;Karnahrn;x
1046;104;58;233;Ebon Stadmont;x
1047;143;119;195;;x
1048;154;43;119;Sarulas;x
1049;18;82;222;Pastelin;x
1050;30;152;188;;x
1051;204;14;54;Slaughter;x
1052;210;43;8;Sunhold;x
1053;215;0;75;;x
1054;224;26;13;Cunelyi;x
1055;142;98;136;Terim;x
1056;125;94;251;;x
1057;138;102;143;Holly Falls;x
1058;19;44;6;Holifal;x
1059;106;49;172;Shimmerene;x
1060;33;168;123;Ebonsamon;x
1061;38;140;46;;x
1062;147;139;77;Cloudrest;x
1063;224;39;15;;x
1064;32;24;61;;x
1065;250;21;73;Riverfeld;x
1066;237;63;225;;x
1067;149;130;207;;x
1068;88;168;91;;x
1069;187;28;220;Rosfeld;x
1070;33;179;50;;x
1071;174;83;122;;x
1072;64;144;49;;x
1073;214;236;144;;x
1074;184;4;17;Kingdom Fields;x
1075;120;219;222;;x
1076;56;211;247;;x
1077;123;63;113;;x
1078;111;161;120;;x
1079;247;199;46;;x
1080;93;12;55;;x
1081;179;37;117;;x
1082;147;139;77;;x
1083;106;80;43;;x
1084;235;192;172;;x
1085;145;66;170;Alinor;x
1086;13;250;211;Ornandel;x
1087;224;246;21;;x
1088;237;48;159;;x
1089;103;112;182;Scutters Pond;x
1090;161;178;40;;x
1091;132;248;250;Isque;x
1092;166;91;83;;x
1093;63;190;247;Glenvia;x
1094;162;208;254;Marnor;x
1095;33;127;38;;x
1096;102;96;121;;x
1097;55;231;183;;x
1098;199;174;242;The Pearls;x
1099;200;251;149;;x
1100;241;104;193;Felballin;x
1101;136;151;179;;x
1102;153;4;108;;x
1103;125;187;5;;x
1104;109;144;133;;x
1105;184;239;142;Celemora;x
1106;14;86;61;Archen Gangrove;x
1107;55;56;80;;x
1108;177;248;85;Dusk;x
1109;64;85;125;;x
1110;111;68;213;Sollicich;x
1111;53;0;127;Thorheim Guard;x
1112;26;5;94;Silver Wood;x
1113;69;141;196;;x
1114;223;83;109;;x
1115;133;31;95;Syldarim;x
1116;175;177;161;;x
1117;63;190;247;;x
1118;138;219;90;;x
1119;132;141;151;;x
1120;240;248;17;;x

#Pyandonea
1121;228;139;204;Tiguna;x
1122;191;119;242;;x
1123;159;90;38;;x
1124;81;131;91;;x
1125;57;203;60;;x
1126;23;130;174;;x
1127;240;224;170;;x
1128;163;11;46;;x
1129;179;163;56;Mantu;x
1130;234;163;119;;x
1131;90;3;22;;x
1132;198;138;152;;x
1133;41;132;137;;x
1134;104;74;153;;x
1135;234;179;169;;x
1136;134;85;22;;x
1137;186;162;142;;x
1138;76;206;160;;x
1139;166;192;208;;x
1140;126;93;226;;x
1141;225;228;181;Secula;x
1142;2;43;14;;x
1143;193;29;45;;x
1144;15;212;37;Pontu;x
1145;152;236;189;;x
1146;196;101;192;;x
1147;20;247;145;Abbarbas;x
1148;73;96;39;;x
1149;142;118;232;;x
1150;228;118;47;;x
1151;206;234;54;;x
1152;56;210;170;;x
1153;51;86;94;;x
1154;69;195;36;;x
1155;41;83;160;Gaddu;x
1156;107;158;125;;x
1157;200;239;183;;x
1158;26;113;32;;x
1159;222;22;70;;x
1160;121;16;153;;x
1161;157;218;138;;x
1162;20;62;174;;x
1163;193;137;30;;x
1164;140;1;189;;x
1165;100;83;235;;x
1166;77;203;117;;x
1167;214;212;89;;x
1168;204;75;56;;x
1169;88;167;251;;x
1170;146;158;192;;x
1171;73;248;249;;x
1172;12;87;215;;x
1173;70;20;238;;x
1174;235;4;222;;x
1175;0;133;15;;x
1176;90;163;235;;x
1177;195;202;212;;x
1178;173;104;241;;x
1179;26;197;16;;x
1180;170;183;10;;x
1181;127;186;76;;x
1182;196;143;14;Wega;x
1183;6;18;1;;x
1184;84;243;110;;x
1185;100;22;134;;x
1186;104;100;68;;x
1187;104;127;145;;x
1188;193;135;252;;x
1189;98;221;115;;x
1190;205;234;249;Kituna;x
1191;112;22;11;;x
1192;132;122;6;Vos;x
1193;58;217;107;;x
1194;165;207;18;;x
1195;78;105;238;;x
1196;128;83;241;;x
1197;241;188;2;;x
1198;162;211;112;;x
1199;210;23;218;;x
1200;2;78;163;;x
1201;13;82;78;;x
1202;34;139;34;;x
1203;255;228;225;Gruv;x
1204;183;100;212;;x
1205;252;176;120;;x
1206;196;254;177;Vallas Bor;x
1207;177;187;97;;x
1208;31;205;98;;x
1209;211;70;203;;x
1210;134;201;39;;x
1211;137;109;89;;x
1212;30;248;213;;x
1213;104;207;105;;x
1214;198;142;19;;x
1215;9;178;183;;x
1216;63;43;242;;x
1217;108;202;139;;x
1218;123;104;238;Bondar;x
1219;240;128;128;;x
1220;255;218;185;Velu;x
1221;255;250;205;Arcantys;x
1222;38;3;76;;x
1223;225;78;254;Baga;x
1224;20;222;199;;x
1225;1;106;134;;x
1226;100;149;237;;x
1227;220;220;220;;x
1228;186;85;211;;x
1229;255;250;205;;x
1230;91;57;62;;x
1231;23;99;60;;x
1232;202;38;177;;x
1233;29;137;158;;x
1234;223;235;235;;x
1235;27;96;123;Pyrrhan;x
1236;134;173;36;;x
