     ;red;green;blue;x;x
1;104;154;101;Jylkurfyk ;x
2;229;162;120;Skorraholt (M);x
3;241;191;154;Kolssonafell (M);x
4;179;232;3;Hroarsholt (M);x
5;0;234;14;Helgavatn (M);x
6;145;194;38;Fellsskogar (M);x
7;19;137;60;Hestfjoror (M);x
8;9;154;195;Alost (M);x
9;88;172;13;Blondukvislir (M);x
10;33;141;202;Castle Karstaag;x
11;163;152;11;Skaal;x
12;241;97;16;Fort Frostmoth;x
13;227;168;230;Raven Rock;x
14;120;30;2;Winterhold;x
15;250;53;177;Saarthal;x
16;73;57;239;Snowpoint Beacon;x
17;211;90;232;Amol;x
18;180;2;177;Snow Veil Sanctum;x
19;121;35;238;Snow Veil;x
20;142;87;29;Fort Kastav;x
21;148;227;118;Yorgim Overlook;x
22;154;239;141;Drifshade Ridge;x
23;47;176;148;Yngvild;x
24;62;112;55;Fort  Fellhammer;x
25;111;34;44;Nightgate;x
26;9;62;218;Laintar Dale;x
27;48;144;115;Angaheim;x
28;137;192;100;Windhelm;x
29;38;127;108;Dragon Wood;x
30;87;152;57;Kynesgrove;x
31;132;94;64;Dawnstar;x
32;158;164;243;Helarchan Creek;x
33;216;159;222;Morvunskar;x
34;59;255;176;Uttering Hills;x
35;95;24;88;Shrouded Grove;x
36;98;247;53;Silverdrift;x
37;109;6;8;Dunpar Hill;x
38;27;85;56;Windward;x
39;134;37;211;Stone Hills;x
40;131;74;252;High Gate;x
41;229;167;97;Ustengrav;x
42;2;53;52;Marsh;x
43;255;109;97;Myrwatch;x
44;203;206;223;Morthal;x
45;16;26;78;Fort Snowhawk;x
46;239;37;243;Winstad;x
47;198;82;114;Dunstad Grove;x
48;253;31;131;Fort Dunstad;x
49;143;1;117;Narzbul;x
50;206;31;215;Vernim Wood;x
51;84;14;176;Stony Creek;x
52;142;45;232;Shor's Watchtower;x
53;114;185;7;Shor's Stone;x
54;86;194;135;Greenwood;x
55;13;127;159;Witchmist Grove;x
56;60;184;28;Cragslane;x
57;196;169;129;Northwind Summit;x
58;119;187;216;Reich Corigate;x
59;67;38;231;Fort Greenwall;x
60;117;236;40;Riften;x
61;2;0;61;Snow-Shod;x
62;235;82;198;Faldar's Tooth;x
63;12;244;170;Autumnshade Clearing;x
64;120;48;127;Clearspring Tarn;x
65;92;233;216;Mistwatch;x
