provinces;province name;trade good
276;Blacklight;iron
278;Soluthis;livestock
279;Cormaris View;naval_supplies
280;Rhun Huk;livestock
281;Silgrad Tower;salt
282;Kogomar;grain
283;Firemoth Island;naval_supplies
284;Veranis Hall;grain
285;Kogotel;livestock
286;Septim's Gate Pass;iron
287;Verarchen;grain
288;Bodrum;ebony
289;Zaelbalmiran;grain
290;Omayni;naval_supplies
291;Bodrum;livestock
292;Knocker's Neck Pass;salt
293;Kartur;fish
294;UNNAMED;grain
295;Balfalls;grain
296;Ngelfltingth;dwemer_artifacts
297;Kragenmoor;grain
298;Heimlyn;magical_supplies
299;Ishanuran;livestock
300;Magmaflow Overlook;malachite
301;Shadowgate Pass;iron
302;Hlarud;livestock
303;Indalruhn;grain
304;Almas Thirr;cloth
305;Andotrhen;fish
306;Hlan Oek;grain
307;Rivergridge;timber
308;Juilek Pass;iron
309;Oaktown;timber
310;ShortTusk Plains;ivory
311;Nav Andaram;fur
312;Brahma's Grove;grain
313;Mephala's Nest;ebony
314;Ebonheart;paper
315;Davon's Watch;naval_supplies
316;Emberflint Mine;iron
317;Fort Arand;copper
318;Steamlake Camp;fur
319;Shad Astula;magical_supplies
320;Bthanual;dwemer_artifacts
321;Nov Andaram;grain
322;Othmura;malachite
323;Uld Hleryn;tropical_wood
324;Narun;iron
325;Dres Horak;cloth
326;Old Keep;livestock
327;Dres Hairab;grain
328;Muth Gnaar;paper
329;Narsis;grain
330;Shipal Sharai;salt
331;Silnim Dale;cloth
332;An'drev Bog;slaves
333;Ald'Mora;slaves
334;Dres Yengrith;grain
335;Taj'Xa'thaxi;cloth
336;Tear;grain
337;El'vratus Beach;fish
338;Dres Cove;naval_supplies
339;Corkarth Run;grain
340;Kithendis Falls;malachite
341;Arnesia;grain
342;Oroynyon Bay;fish
343;Deepcrag Den;copper
344;Selfora;incense
345;Silent Mirr;naval_supplies
346;Aldsotha;salt
347;Almalexia;silk
348;Obsidian Gorge;malachite
349;Othrenis;grain
350;Mzithumz;dwemer_artifacts
351;Selfora;grain
352;Bosmora;naval_supplies
353;Tal'Deic Fortress;timber
354;Amber Forest;timber
355;Ghorne;naval_supplies
356;Bosmora;naval_supplies
357;Dreynim;ebony
358;Meralog;iron
359;Dondril Vhul;grain
360;Bal Foyen;grain
361;Greenheights;livestock
362;St Veloth Temple;paper
363;Dhalmora;cloth
364;Dragon Glade;iron
365;Illdrim;naval_supplies
